grant_id,status,reinstated,org_name,org_state,award_type,nsf_total_budget,nsf_obligated,remaining_budget_impact,in_cruz_list,flagged_word_count,flagged_words_found,has_flagged_words
2317570,🔄 Possibly Reinstated,True,American Institute of Mathematics,CA,Continuing Grant,219726,82680,124812.39452054794,True,6,"['diversity', 'diversity', 'diversity', 'underrepresented', 'underrepresented', 'underrepresented']",True
2150922,❌ Terminated,False,University of Rochester,NY,Continuing Grant,2999914,2047099,1150731.29,True,11,"['culturally responsive', 'diversity', 'diversity', 'equity', 'equity', 'gender', 'inclusion', 'inclusion', 'inclusion', 'inclusive', 'inclusive']",True
2222482,❌ Terminated,False,Drexel University,PA,Standard Grant,300000,300000,60601.100000000006,True,21,"['barriers', 'barriers', 'discriminatory', 'diverse', 'diverse', 'diversity', 'diversity', 'diversity', 'diversity', 'equity', 'equity', 'women', 'gender', 'gender', 'inclusion', 'inclusion', 'inclusion', 'marginalized', 'marginalized', 'marginalized', 'marginalized']",True
2315868,❌ Terminated,False,New York University,NY,Standard Grant,153472,153472,0.0,True,0,[],False
2221995,❌ Terminated,False,University of Texas at San Antonio,TX,Standard Grant,92335,92335,75720.56,True,4,"['disabilities', 'diverse', 'women', 'underrepresented']",True
2242927,❌ Terminated,False,University of Illinois at Chicago,IL,Standard Grant,500000,500000,257878.32,True,2,"['inclusive', 'underrepresented']",True
2241070,🔄 Possibly Reinstated,True,Syracuse University,NY,Standard Grant,220000,220000,63488.58447488584,False,1,['barrier'],True
2329570,❌ Terminated,False,"Georgia State University Research Foundation, Inc.",GA,Standard Grant,1207522,1207522,917051.37,True,5,"['disabilities', 'equitable', 'equitable', 'inclusive', 'underrepresented']",True
2243109,❌ Terminated,False,University of Illinois at Chicago,IL,Continuing Grant,2889959,2781881,2003482.33,True,12,"['diversity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'climate', 'sustainable']",True
2411129,❌ Terminated,False,Michigan State University,MI,Continuing Grant,2804056,1736866,2628241.23,False,7,"['diverse', 'diverse', 'diverse', 'diverse', 'equity', 'equity', 'equity']",True
2237461,❌ Terminated,False,Purdue University,IN,Continuing Grant,936983,721716,0.0,True,8,"['cultural differences', 'diverse', 'diverse', 'diverse', 'equity', 'inclusion', 'inclusive', 'inclusive']",True
2315869,❌ Terminated,False,University of Nevada Las Vegas,NV,Standard Grant,211470,211470,0.0,True,0,[],False
2334206,❌ Terminated,False,University of Arkansas,AR,Standard Grant,71250,71250,0.0,True,5,"['diversity', 'equitable', 'minority', 'underrepresented', 'sustainable']",True
2309307,❌ Terminated,False,Rochester Institute of Tech,NY,Continuing Grant,288080,195917,0.0,True,7,"['barriers', 'diverse', 'equity', 'equity', 'equity', 'equity', 'equity']",True
2233699,❌ Terminated,False,Coastal and Estuarine Research Federation,WA,Standard Grant,1736883,1736883,866232.1,True,9,"['diverse', 'diverse', 'diversity', 'equity', 'inclusion', 'inclusive', 'inclusive', 'underrepresented', 'underrepresented']",True
2425826,❌ Terminated,False,University of Colorado at Boulder,CO,Standard Grant,268428,268428,267870.56,False,0,[],False
2327488,❌ Terminated,False,Auburn University,AL,Standard Grant,283448,283448,126846.03,True,8,"['bias', 'diversity', 'diversity', 'equity', 'ethnicity', 'excluded', 'inclusion', 'marginalized']",True
2204537,❌ Terminated,False,Missouri University of Science and Technology,MO,Standard Grant,1000000,1000000,0.0,True,34,"['barriers', 'barriers', 'barriers', 'bias', 'bias', 'diverse', 'diverse', 'diversity', 'diversity', 'equitable', 'equity', 'equity', 'equity', 'equity', 'equity', 'ethnicity', 'women', 'women', 'women', 'women', 'women', 'women', 'gender', 'gender', 'gender', 'gender', 'inclusive', 'inclusive', 'underrepresented', 'underrepresented', 'climate', 'climate', 'climate', 'climate']",True
2225095,❌ Terminated,False,Colorado State University,CO,Standard Grant,346658,346658,132887.62,True,20,"['barriers', 'barriers', 'diverse', 'diverse', 'equity', 'equity', 'ethnicity', 'excluded', 'inclusion', 'inclusion', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'inclusive', 'marginalized', 'underrepresented']",True
2321243,❌ Terminated,False,Southern Illinois University at Edwardsville,IL,Standard Grant,340528,340528,203021.18,True,8,"['bias', 'diverse', 'gender', 'gender', 'inclusive', 'inclusive', 'inclusive', 'lgbtq']",True
2329538,❌ Terminated,False,Clemson University,SC,Standard Grant,1249729,1444001,0.0,True,11,"['diverse', 'equity', 'equity', 'inclusive', 'inclusive', 'inclusive', 'social justice', 'social justice', 'social justice', 'social justice', 'social justice']",True
2306265,❌ Terminated,False,Georgia Tech Research Corporation,GA,Standard Grant,245079,245079,0.0,True,13,"['barriers', 'diversity', 'equity', 'equity', 'excluded', 'inclusion', 'trauma', 'trauma', 'trauma', 'trauma', 'trauma', 'underserved', 'underserved']",True
2233787,❌ Terminated,False,Western Washington University,WA,Standard Grant,1203675,1203675,0.0,True,30,"['barriers', 'diverse', 'diverse', 'diverse', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'inclusion', 'inclusion', 'inclusion', 'inclusion', 'inclusion', 'minority', 'underrepresented', 'underrepresented', 'underrepresented', 'underrepresented', 'underrepresented', 'climate']",True
2228173,❌ Terminated,False,Columbia University,NY,Continuing Grant,7339241,5921936,0.0,True,13,"['bipoc', 'diversity', 'diversity', 'equitable', 'equitable', 'equity', 'equity', 'inclusion', 'inclusive', 'minority', 'underserved', 'underrepresented', 'climate']",True
2145783,❌ Terminated,False,University of Colorado at Boulder,CO,Continuing Grant,569911,458019,131139.28000000003,False,0,[],False
2323037,❌ Terminated,False,"The Geological Society of America, Inc.",CO,Standard Grant,895841,895841,628445.86,True,10,"['diverse', 'excluded', 'excluded', 'excluded', 'excluded', 'excluded', 'excluded', 'excluded', 'minority', 'climate']",True
2301964,❌ Terminated,False,Arizona State University,AZ,Standard Grant,250000,250000,0.0,True,8,"['barriers', 'diverse', 'inclusive', 'marginalized', 'climate', 'climate', 'climate', 'sustainable']",True
2338556,❌ Terminated,False,University of Arizona,AZ,Standard Grant,550254,550254,0.0,True,6,"['advocate', 'equitable', 'equity', 'underserved', 'underserved', 'climate']",True
2204380,❌ Terminated,False,University of Colorado at Boulder,CO,Continuing Grant,1249271,1249271,0.0,True,38,"['barriers', 'barriers', 'barriers', 'barriers', 'barriers', 'barriers', 'diverse', 'diverse', 'diverse', 'diverse', 'diversity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'women', 'women', 'women', 'women', 'women', 'women', 'gender', 'gender', 'gender', 'gender', 'gender', 'gender', 'inclusion', 'inclusive', 'inclusive', 'climate', 'climate', 'sustainable']",True
2320884,❌ Terminated,False,National Academy of Sciences,DC,Continuing Grant,500000,200000,0.0,True,7,"['equity', 'underserved', 'underrepresented', 'climate', 'climate', 'climate', 'climate']",True
2215409,❌ Terminated,False,Portland State University,OR,Standard Grant,399876,399876,0.0,True,3,"['climate', 'climate', 'climate']",True
2305370,❌ Terminated,False,New York University,NY,Standard Grant,1250000,1250000,692712.95,True,17,"['barriers', 'barriers', 'diverse', 'diversity', 'equity', 'equity', 'equity', 'women', 'women', 'gender', 'inclusive', 'underrepresented', 'underrepresented', 'climate', 'climate', 'climate', 'climate']",True
2315024,❌ Terminated,False,"OHIO STATE UNIVERSITY, THE",OH,Standard Grant,378441,378441,310595.65,True,7,"['advocate', 'diversity', 'equity', 'equity', 'equity', 'equity', 'trauma']",True
2214215,🔄 Possibly Reinstated,True,University of California-Los Angeles,CA,Standard Grant,327276,327276,106149.6846473029,False,1,['climate'],True
2327314,❌ Terminated,False,University of New Hampshire,NH,Standard Grant,332246,332246,242710.76,True,6,"['diversity', 'excluded', 'excluded', 'excluded', 'gender', 'marginalized']",True
2230683,❌ Terminated,False,George Washington University,DC,Cooperative Agreement,5000000,5000000,0.0,False,1,['trauma'],True
2210842,🔄 Possibly Reinstated,True,University of California-Irvine,CA,Standard Grant,90626,90626,54029.4,True,11,"['equitable', 'equity', 'inclusion', 'inclusive', 'inclusive', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'underrepresented']",True
2224248,❌ Terminated,False,New York University,NY,Standard Grant,510464,510464,0.0,True,14,"['barriers', 'discrimination', 'diversity', 'equitable', 'equitable', 'equitable', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'sustainable']",True
2404719,❌ Terminated,False,University of Washington,WA,Fellowship Award,160000,160000,80000.0,False,1,['underrepresented'],True
2239194,❌ Terminated,False,"University of Maryland, College Park",MD,Continuing Grant,603502,429788,385279.17,False,2,"['diverse', 'diversity']",True
2201466,❌ Terminated,False,Regents of the University of Michigan - Ann Arbor,MI,Standard Grant,641684,641684,0.0,True,12,"['diversity', 'equitable', 'equity', 'equity', 'equity', 'equity', 'gender', 'gender', 'marginalized', 'marginalized', 'marginalized', 'underrepresented']",True
2247959,❌ Terminated,False,Tufts University,MA,Standard Grant,599999,599999,318186.93,True,16,"['barriers', 'barriers', 'community equity', 'diverse', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'equity', 'equity', 'equity', 'gender', 'inclusion', 'marginalized']",True
2119573,❌ Terminated,False,Utah State University,UT,Standard Grant,582983,582983,102417.72999999998,False,5,"['bias', 'diverse', 'diverse', 'equitable', 'sustainable']",True
2139096,❌ Terminated,False,University of Arizona,AZ,Standard Grant,454335,454335,0.0,False,19,"['diverse', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'diversity', 'female', 'female', 'female', 'women', 'women', 'gender', 'minority', 'minority', 'minority', 'minority', 'underrepresented']",True
2317747,❌ Terminated,False,University of Pittsburgh,PA,Continuing Grant,999801,621776,0.0,True,10,"['black and latinx', 'black and latinx', 'culturally responsive', 'diverse', 'diverse', 'female', 'female', 'underrepresented', 'underrepresented', 'underrepresented']",True
2337293,❌ Terminated,False,University of Nebraska-Lincoln,NE,Continuing Grant,660000,446388,588899.64,True,4,"['barriers', 'diverse', 'equitable', 'underserved']",True
2405217,❌ Terminated,False,WestEd,CA,Standard Grant,100000,100000,0.0,False,7,"['equity', 'equity', 'equity', 'ethnicity', 'inclusive', 'inclusive', 'underrepresented']",True
2404781,❌ Terminated,False,University of Washington,WA,Fellowship Award,160000,160000,160000.0,False,4,"['bias', 'inclusive', 'inclusive', 'underrepresented']",True
2427641,❌ Terminated,False,Arizona State University,AZ,Standard Grant,75000,75000,75000.0,False,1,['diverse'],True
2215382,❌ Terminated,False,TERC Inc,MA,Continuing Grant,2997821,2601763,1692321.0,True,1,['underrepresented'],True
2325090,❌ Terminated,False,Purdue University,IN,Standard Grant,50000,50000,0.0,False,5,"['diverse', 'diversity', 'diversity', 'inclusion', 'underrepresented']",True
2120673,❌ Terminated,False,Juniata College,PA,Standard Grant,499668,499668,316115.28,False,9,"['equitable', 'equitable', 'equity', 'equity', 'inclusion', 'inclusive', 'inclusive', 'inclusive', 'marginalized']",True
2335901,❌ Terminated,False,The Texas A&M University System HSC,TX,Continuing Grant,467186,200642,0.0,False,8,"['discrimination', 'lgbtq', 'lgbtq', 'lgbtq', 'lgbtq', 'lgbtq', 'minority', 'minority']",True
2415667,❌ Terminated,False,University of Nebraska-Lincoln,NE,Continuing Grant,1999341,1451207,0.0,False,3,"['barriers', 'sustainable', 'sustainable']",True
2149798,❌ Terminated,False,Johns Hopkins University,MD,Continuing Grant,874999,499653,555685.12,False,17,"['barriers', 'culturally responsive', 'diverse', 'diversity', 'diversity', 'equitable', 'equity', 'equity', 'equity', 'equity', 'women', 'inclusion', 'inclusion', 'inclusive', 'inclusive', 'inclusive', 'underrepresented']",True
2055382,❌ Terminated,False,New York University,NY,Continuing Grant,767844,767844,23415.589999999967,False,2,"['equitable', 'underrepresented']",True
2418051,❌ Terminated,False,St. Catherine University,MN,Standard Grant,499249,499249,494221.53,False,11,"['barriers', 'diverse', 'women', 'gender', 'inclusion', 'inclusive', 'inclusive', 'marginalized', 'minority', 'underrepresented', 'underrepresented']",True
2411738,🔄 Possibly Reinstated,True,North Carolina State University,NC,Continuing Grant,1040523,409604,880774.6556016598,False,1,['disabilities'],True
2315876,❌ Terminated,False,Purdue University,IN,Standard Grant,150968,150968,106237.53,True,8,"['diverse', 'equitable', 'equity', 'minority', 'minority', 'underrepresented', 'sustainable', 'sustainable']",True
2147839,❌ Terminated,False,University of Minnesota-Twin Cities,MN,Standard Grant,1143464,1143464,608261.46,True,20,"['diverse', 'diversity', 'diversify', 'equity', 'equity', 'inclusion', 'minority', 'minority', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate', 'energy transition', 'energy transition', 'energy transition']",True
2405633,❌ Terminated,False,San Francisco State University,CA,Continuing Grant,1396551,565771,0.0,False,15,"['diverse', 'diversity', 'equitable', 'equitable', 'equitable', 'underrepresented', 'underrepresented', 'underrepresented', 'underrepresented', 'underrepresented', 'underrepresented', 'underrepresented', 'underrepresented', 'underrepresented', 'underrepresented']",True
2147011,🔄 Possibly Reinstated,True,University of California-Irvine,CA,Continuing Grant,511230,511230,123222.49,True,8,"['diverse', 'diverse', 'diverse', 'diverse', 'diverse', 'diversity', 'equitable', 'gender']",True
2341740,❌ Terminated,False,Purdue University,IN,Continuing Grant,146489,86800,104984.05,False,4,"['diverse', 'equity', 'marginalized', 'sustainable']",True
2418349,❌ Terminated,False,University of Georgia Research Foundation Inc,GA,Standard Grant,74971,74971,44144.04,False,13,"['barriers', 'barriers', 'diverse', 'equitable', 'equity', 'equity', 'equity', 'inclusion', 'inclusion', 'inclusive', 'inclusive', 'marginalized', 'social justice']",True
2050922,❌ Terminated,False,MOLLOY UNIVERSITY,NY,Standard Grant,350745,350745,123153.49,False,5,"['diverse', 'diverse', 'diversity', 'diversity', 'diversity']",True
2241576,🔄 Possibly Reinstated,True,University of California-Berkeley,CA,Standard Grant,1291633,1291633,581529.7433789955,True,4,"['diversity', 'equitable', 'inclusive', 'sustainable']",True
2419037,❌ Terminated,False,Benedictine University,IL,Standard Grant,19992,19992,0.0,False,3,"['women', 'underrepresented', 'underrepresented']",True
2046081,🔄 Possibly Reinstated,True,University of California-Santa Barbara,CA,Continuing Grant,750000,836786,210134.4,False,1,['diversity'],True
2404966,❌ Terminated,False,Arizona State University,AZ,Continuing Grant,2311990,1012725,2292620.25,False,11,"['diverse', 'diverse', 'diversity', 'equitable', 'equitable', 'equity', 'equity', 'equity', 'equity', 'equity', 'underserved']",True
2224295,❌ Terminated,False,Michigan State University,MI,Continuing Grant,1659658,656544,0.0,False,7,"['advocacy', 'advocacy', 'diversity', 'equity', 'equity', 'equity', 'equity']",True
2400502,❌ Terminated,False,Family Health International,NC,Standard Grant,607573,607573,0.0,False,12,"['diversify', 'equity', 'women', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized', 'marginalized']",True
2246607,❌ Terminated,False,Regents of the University of Michigan - Ann Arbor,MI,Standard Grant,1181311,1181311,0.0,True,5,"['equitable', 'equity', 'equity', 'marginalized', 'social justice']",True
2201101,❌ Terminated,False,University of Cincinnati Main Campus,OH,Continuing Grant,381586,284914,235854.87,True,7,"['underrepresented', 'climate', 'climate', 'climate', 'climate', 'climate', 'climate']",True
2049130,❌ Terminated,False,"California State University, East Bay Foundation, Inc.",CA,Standard Grant,1496842,1496842,0.0,False,4,"['climate', 'climate', 'climate', 'climate']",True
2333737,❌ Terminated,False,Georgia Tech Research Corporation,GA,Cooperative Agreement,1365875,1365875,0.0,True,4,"['diverse', 'diverse', 'inclusive', 'underrepresented']",True
2045505,❌ Terminated,False,Regents of the University of Michigan - Ann Arbor,MI,Continuing Grant,824665,824665,0.0,False,4,"['culturally responsive', 'diverse', 'underserved', 'underserved']",True
2115160,❌ Terminated,False,University of North Carolina Greensboro,NC,Continuing Grant,925733,925733,504559.27,False,2,"['underrepresented', 'underrepresented']",True
2047420,❌ Terminated,False,Purdue University,IN,Continuing Grant,513506,513506,283828.78,False,6,"['bias', 'bias', 'biased', 'discrimination', 'women', 'minority']",True
2140891,❌ Terminated,False,Georgia Tech Research Corporation,GA,Continuing Grant,1356072,822120,983495.69,False,12,"['barriers', 'diversity', 'equity', 'equity', 'equity', 'equity', 'women', 'women', 'women', 'women', 'women', 'women']",True
2343306,❌ Terminated,False,Case Western Reserve University,OH,Standard Grant,30731,30731,22955.34,True,1,['inclusion'],True
2418859,❌ Terminated,False,Michigan State University,MI,Standard Grant,37460,37460,0.0,False,1,['inclusive'],True
2048985,❌ Terminated,False,Horizon Research Inc,NC,Standard Grant,652003,737186,91270.18999999994,False,2,"['diversity', 'underrepresented']",True
2128746,❌ Terminated,False,University of Oregon Eugene,OR,Standard Grant,301994,301994,28606.75,False,15,"['barriers', 'diverse', 'equitable', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'equity', 'women', 'inclusion', 'inclusion', 'inclusive']",True
2114242,❌ Terminated,False,Utah State University,UT,Standard Grant,200982,200982,1875.8800000000049,False,21,"['diverse', 'diverse', 'diverse', 'diverse', 'diversity', 'diversity', 'diversity', 'diversity', 'equity', 'inclusion', 'inclusion', 'inclusion', 'inclusion', 'inclusion', 'inclusion', 'inclusion', 'inclusive', 'inclusive', 'inclusive', 'marginalize', 'marginalized']",True
2314089,❌ Terminated,False,"Teachers College, Columbia University",NY,Standard Grant,1638715,1737715,899532.0,True,6,"['diverse', 'equitable', 'equity', 'inclusive', 'underserved', 'climate']",True
2349503,❌ Terminated,False,University of Virginia Main Campus,VA,Continuing Grant,481232,320822,468464.61,False,3,"['culturally responsive', 'equity', 'underrepresented']",True
2055419,❌ Terminated,False,College of William and Mary,VA,Continuing Grant,482348,482348,291459.41000000003,False,1,['diverse'],True
2448445,❌ Terminated,False,Vanderbilt University,TN,Continuing Grant,1473336,338290,1390564.45,False,7,"['discriminatory', 'diversity', 'equity', 'equity', 'equity', 'equity', 'underserved']",True
2422009,❌ Terminated,False,Arizona State University,AZ,Standard Grant,249442,249442,247087.0,False,4,"['diverse', 'diverse', 'equity', 'inclusive']",True
2322496,❌ Terminated,False,CUNY New York City College of Technology,NY,Cooperative Agreement,998665,998665,0.0,True,10,"['diverse', 'diverse', 'diverse', 'diversifying', 'inclusive', 'minority', 'underrepresented', 'underrepresented', 'underrepresented', 'underrepresented']",True
